정시 입결 데이터 — 학교×연도 커버리지 (생성: 2026-05-09)
======================================================================

▣ 인서울 메이저 21교 (서고연·서성한·중경외시·건동홍·국숭세단·광명상가)
──────────────────────────────────────────────────────────────────────
학교           26   25   24   23   22   21      합
──────────────────────────────────────────────────────────────────────
서울대           ·   15   42   27   17   14    115
고려대           5   20   28    6   19   17     95
연세대           5   57   32    2   19   15    130
서강대           ·   22   19   10   10    ·     61
성균관대          ·   37   11    8   11    ·     67
한양대          15   28   17   20   17    ·     97
중앙대           ·   17   30   20   18    7     92
경희대           2   26   21   18   31    ·     98
한국외대          ·   17   14   29   15    ·     75
서울시립대         ·   15   15    6   17    ·     53
건국대           ·   14   25    7   21    ·     67
동국대           ·  137   50    5   16    ·    208
홍익대           ·   23   28    7   15    ·     73
국민대           ·   19   18   24   11    ·     72
숭실대           ·    4   15   16   11    ·     46
세종대           ·    4    7   15    7    ·     33
단국대          13   11    5   13    9    ·     51
광운대           ·   31   17   12   16    ·     76
명지대           3   17   14   13   10    ·     57
상명대           ·   33   17   12   13    ·     75
가천대           ·   29    8   27   15    ·     79
──────────────────────────────────────────────────────────────────────
합계                                         1720

▣ 전체 학교 (104교)
──────────────────────────────────────────────────────────────────────
학교                     slug                 26   25   24   23   22   21      합
──────────────────────────────────────────────────────────────────────
DGIST                  dgist                 ·    1    ·    ·    ·    ·      1
GIST                   gist                  ·    1    ·    ·    ·    ·      1
UNIST                  unist                 ·    1    ·    ·    ·    ·      1
가천대학교                  gachon                ·   29    8   27   15    ·     79
가톨릭관동대학교               cu_kd                 ·   16    ·    ·    ·    ·     16
가톨릭대학교                 catholic              5   14    6    4    ·    ·     29
강릉원주대학교                gwnu                  ·    ·    ·    ·    ·    ·      0
강원대학교                  kangwon               ·   80    5    ·    ·    ·     85
건국대학교                  konkuk                ·   14   25    7   21    ·     67
건양대학교                  konyang               ·    ·   35    ·    ·    ·     35
경기대학교                  kyonggi               ·   19    ·    ·    ·    ·     19
경북대학교                  knu                   ·  102   18    ·    ·    ·    120
경상국립대학교                gnu                   ·  100    ·    ·    ·    ·    100
경성대학교                  kyungsung             ·    ·    1    ·    ·    ·      1
경인교육대학교                gnue_in               ·    ·    ·    ·    ·    ·      0
경희대학교                  khu                   2   26   21   18   31    ·     98
계명대학교                  kmu                   ·    2    ·    ·    ·    ·      2
고려대학교 (서울)             korea                 5   20   28    6   19   17     95
고려대학교(세종)              korea_sejong          ·    3   24    ·    ·    ·     27
고신대학교                  kosin                 ·    1    ·    ·    ·    ·      1
광운대학교                  kw                    ·   31   17   12   16    ·     76
광주교육대학교                gnue                  ·    ·    ·    ·    ·    ·      0
국립공주대학교                kongju                ·    ·    ·    ·    ·    ·      0
국립금오공과대학교              kumoh                 ·    ·    ·    ·    ·    ·      0
국립한밭대학교                hanbat                ·    ·    7    ·    ·    ·      7
국민대학교                  kookmin               ·   19   18   24   11    ·     72
단국대학교(죽전)              dankook              13   11    5   13    9    ·     51
단국대학교(천안)              dankook_cheonan       ·    7    5    ·    ·    ·     12
대구가톨릭대학교               cu_daegu              ·    ·    1    ·    ·    ·      1
대구가톨릭대학교               extra_08009_대구가톨릭     ·    ·    ·    ·    ·    ·      0
대구한의대학교                extra_08014_대구한의      ·    ·    ·    ·    ·    ·      0
대전대학교                  daejeon               ·    ·    2    ·    ·    ·      2
덕성여자대학교                duksung               ·    9    1    ·    ·    ·     10
동국대학교                  dongguk               ·  137   50    5   16    ·    208
동국대학교(WISE)            dongguk_wise          ·    ·    2    ·    ·    ·      2
동덕여자대학교                dongduk               ·   46    5    5    ·    ·     56
동서대학교                  extra_09007_동서        ·    ·    ·    ·    ·    ·      0
동신대학교                  dongshin              ·    ·    1    ·    ·    ·      1
동아대학교                  donga                 ·    2    ·    ·    ·    ·      2
동의대학교                  extra_09009_동의        ·    ·    ·    ·    ·    ·      0
명지대학교                  mju                   3   17   14   13   10    ·     57
목원대학교                  extra_05011_목원        ·    ·    ·    ·    ·    ·      0
목포대학교                  mokpo                 ·    ·    1    ·    ·    ·      1
백석대학교                  extra_05021_백석        ·    ·    ·    ·    ·    ·      0
부산교육대학교                bnue                  ·    ·    ·    ·    ·    ·      0
부산대학교                  pusan                 ·    9   37    5    ·    ·     51
삼육대학교                  sahmyook              ·    ·    1    ·    ·    ·      1
상명대학교                  smu                   ·   33   17   12   13    ·     75
상지대학교                  sangji                ·    ·    2    ·    ·    ·      2
서강대학교                  sogang                ·   22   19   10   10    ·     61
서경대학교                  skuniv                ·   14    ·    ·    ·    ·     14
서울과학기술대학교              seoultech             ·    5    ·    ·    4    ·      9
서울교육대학교                snue                  ·    ·    ·    ·    ·    ·      0
서울대학교                  snu                   ·   15   42   27   17   14    115
서울시립대학교                uos                   ·   15   15    6   17    ·     53
서울여자대학교                swu                   ·    4    5    6    ·    ·     15
선문대학교                  extra_05015_선문        ·    ·    ·    ·    ·    ·      0
성균관대학교                 skku                  ·   37   11    8   11    ·     67
성신여자대학교                sungshin              ·    4    ·    2   11    ·     17
세명대학교                  extra_04005_세명        ·    ·    ·    ·    ·    ·      0
세종대학교                  sejong                ·    4    7   15    7    ·     33
숙명여자대학교                sookmyung             ·   12    8    2   14    ·     36
순천대학교                  sunchon               ·    ·    1    ·    ·    ·      1
순천향대학교                 sch                   ·   48    ·    ·    ·    ·     48
숭실대학교                  ssu                   ·    4   15   16   11    ·     46
아주대학교                  ajou                 21   33    4    ·    ·    ·     58
안양대학교                  anyang                ·   35    4    ·    ·    ·     39
연세대학교 (서울)             yonsei                5   57   32    2   19   15    130
연세대학교(미래·원주)           yonsei_mirae          ·    3    ·    ·    ·    ·      3
영남대학교                  yu                    ·    2    ·    ·    ·    ·      2
우석대학교                  woosuk                ·    ·    1    ·    ·    ·      1
울산대학교                  ulsan                 ·    1    ·    ·    ·    ·      1
원광대학교                  wku                   ·    4    2    ·    ·    ·      6
을지대학교                  eulji                 ·    1    ·    ·    ·    ·      1
이화여자대학교                ewha                  ·   25   13   10    9    ·     57
인제대학교                  inje                  ·    1    ·    ·    ·    ·      1
인천가톨릭대학교               extra_02021_인천가톨릭     ·    ·    ·    ·    ·    ·      0
인천대학교                  inu                  11   59    ·   19    ·    ·     89
인하대학교                  inha                  1   21   11   10   58    ·    101
전남대학교                  jnu                   ·   89   23    ·    ·    ·    112
전북대학교                  jbnu                  ·    8   10    3    ·    ·     21
전주교육대학교                jnue                  ·    ·    ·    ·    ·    ·      0
전주대학교                  extra_06009_전주        ·    ·    ·    ·    ·    ·      0
제주대학교                  jejunu                ·    2    ·    ·    ·    ·      2
조선대학교                  chosun                ·    3    ·    ·    ·    ·      3
중앙대학교                  cau                   ·   17   30   20   18    7     92
진주교육대학교                gnue_jinju            ·    ·    ·    ·    ·    ·      0
차의과학대학교                cha                   ·    2    ·    ·    ·    ·      2
충남대학교                  cnu                   ·    3    ·    ·    ·    ·      3
충북대학교                  chungbuk              ·   61    ·    ·    ·    ·     61
한국공학대학교                ktech                 ·    2    ·    ·    ·    ·      2
한국교원대학교                knue                  ·    ·    ·    ·    ·    ·      0
한국에너지공과대학교 (KENTECH)   kentech               ·    1    ·    ·    ·    ·      1
한국외국어대학교               hufs                  ·   17   14   29   15    ·     75
한국항공대학교                kau                   ·    4    ·    6    ·    ·     10
한동대학교                  handong               ·    1    ·    ·    ·    ·      1
한림대학교                  hallym                ·   28    ·    ·    ·    ·     28
한성대학교                  hansung               ·    ·    ·    ·    ·    ·      0
한세대학교                  hansei                ·    ·    ·    ·    ·    ·      0
한양대학교                  hanyang              15   28   17   20   17    ·     97
한양대학교(ERICA)           hanyang_erica         8   26   28   28   27    ·    117
호남대학교                  extra_07020_호남        ·    ·    ·    ·    ·    ·      0
호서대학교                  hoseo                 ·   21   21   21   21   21    105
홍익대학교                  hongik                ·   23   28    7   15    ·     73
──────────────────────────────────────────────────────────────────────
전체: 104교 / 3273학과
