영역,유형,표준점수,남자,여자
국어,국어,147,157,104
국어,국어,145,386,214
국어,국어,144,330,197
국어,국어,143,377,307
국어,국어,142,526,393
국어,국어,141,606,465
국어,국어,140,762,607
국어,국어,139,827,642
국어,국어,138,1282,961
국어,국어,137,1041,874
국어,국어,136,1398,1274
국어,국어,135,1411,1210
국어,국어,134,1645,1385
국어,국어,133,1870,1684
국어,국어,132,1878,1726
국어,국어,131,2076,2015
국어,국어,130,2179,2084
국어,국어,129,2286,2300
국어,국어,128,2632,2449
국어,국어,127,2717,2594
국어,국어,126,2777,2759
국어,국어,125,3038,2752
국어,국어,124,3166,3114
국어,국어,123,3134,3149
국어,국어,122,3436,3247
국어,국어,121,3455,3281
국어,국어,120,4018,3889
국어,국어,119,3498,3689
국어,국어,118,3715,3623
국어,국어,117,3718,3729
국어,국어,116,3879,3892
국어,국어,115,3864,3942
국어,국어,114,3889,3975
국어,국어,113,3940,3976
국어,국어,112,3962,4181
국어,국어,111,4032,4023
국어,국어,110,4151,4153
국어,국어,109,3963,4001
국어,국어,108,4014,4045
국어,국어,107,3937,4060
국어,국어,106,4037,4059
국어,국어,105,3994,4092
국어,국어,104,4322,4353
국어,국어,103,3881,4026
국어,국어,102,4389,4453
국어,국어,101,3822,3992
국어,국어,100,3919,4058
국어,국어,99,3818,3972
국어,국어,98,3832,3910
국어,국어,97,3772,3901
국어,국어,96,3801,4017
국어,국어,95,3702,3818
국어,국어,94,3824,4044
국어,국어,93,3665,3740
국어,국어,92,3685,3903
국어,국어,91,3603,3673
국어,국어,90,3522,3787
국어,국어,89,3530,3566
국어,국어,88,3500,3637
국어,국어,87,3446,3485
국어,국어,86,3828,3713
국어,국어,85,3339,3455
국어,국어,84,3345,3393
국어,국어,83,3256,3290
국어,국어,82,3303,3216
국어,국어,81,3234,3152
국어,국어,80,3101,3084
국어,국어,79,3208,3108
국어,국어,78,3173,2931
국어,국어,77,3073,2958
국어,국어,76,3298,3069
국어,국어,75,2962,2667
국어,국어,74,2967,2627
국어,국어,73,2894,2374
국어,국어,72,3037,2436
국어,국어,71,2586,2045
국어,국어,70,4001,2685
국어,국어,69,2539,1771
국어,국어,68,4114,2618
국어,국어,67,2298,1642
국어,국어,66,2380,1606
국어,국어,65,2236,1502
국어,국어,64,2538,1628
국어,국어,63,1078,683
국어,국어,62,915,545
국어,국어,61,757,430
국어,국어,60,543,345
국어,국어,59,424,269
국어,국어,58,286,182
국어,국어,57,217,134
국어,국어,56,134,78
국어,국어,55,101,73
국어,국어,54,34,48
국어,국어,53,54,33
국어,국어,52,16,19
국어,국어,51,24,26
국어,국어,50,1,5
국어,국어,49,100,43
국어,국어,47,136,89
수학,수학,139,684,96
수학,수학,137,50,9
수학,수학,136,1526,373
수학,수학,135,13,5
수학,수학,134,179,55
수학,수학,133,3446,1133
수학,수학,132,25,9
수학,수학,131,699,296
수학,수학,130,6457,2562
수학,수학,129,150,63
수학,수학,128,2482,1485
수학,수학,127,9163,4327
수학,수학,126,772,394
수학,수학,125,5777,3773
수학,수학,124,10672,5936
수학,수학,123,2346,1456
수학,수학,122,8528,6227
수학,수학,121,8910,5497
수학,수학,120,4400,3103
수학,수학,119,9190,6958
수학,수학,118,5301,3643
수학,수학,117,6548,5104
수학,수학,116,6701,5549
수학,수학,115,2478,1577
수학,수학,114,7562,6333
수학,수학,113,3747,3238
수학,수학,112,1668,1233
수학,수학,111,7117,6147
수학,수학,110,1984,1811
수학,수학,109,1909,1557
수학,수학,108,5416,5305
수학,수학,107,1416,1265
수학,수학,106,2214,1912
수학,수학,105,3975,3986
수학,수학,104,1511,1414
수학,수학,103,2106,2166
수학,수학,102,2995,3224
수학,수학,101,1866,1820
수학,수학,100,1906,2108
수학,수학,99,1855,1903
수학,수학,98,2730,3112
수학,수학,97,1476,1616
수학,수학,96,1929,1930
수학,수학,95,2930,3526
수학,수학,94,1394,1533
수학,수학,93,2388,2659
수학,수학,92,2662,3454
수학,수학,91,1707,2150
수학,수학,90,2443,2821
수학,수학,89,2943,3952
수학,수학,88,1984,2611
수학,수학,87,2195,2825
수학,수학,86,3502,4649
수학,수학,85,2107,2825
수학,수학,84,2042,2548
수학,수학,83,4058,5838
수학,수학,82,2040,2721
수학,수학,81,2371,3062
수학,수학,80,4719,6241
수학,수학,79,2614,3328
수학,수학,78,3814,4421
수학,수학,77,6560,8304
수학,수학,76,3475,4352
수학,수학,75,2825,3533
수학,수학,74,13436,15151
수학,수학,73,2427,2739
수학,수학,72,3706,4077
수학,수학,71,4817,5848
수학,수학,70,1600,1837
수학,수학,69,1689,1975
수학,수학,68,2294,2592
수학,수학,67,830,911
수학,수학,66,648,631
수학,수학,65,571,605
수학,수학,64,339,309
수학,수학,63,124,92
수학,수학,62,237,153
수학,수학,61,10,11
사회탐구,생활과 윤리,71,733,955
사회탐구,생활과 윤리,69,657,912
사회탐구,생활과 윤리,68,1338,1742
사회탐구,생활과 윤리,67,234,317
사회탐구,생활과 윤리,66,3118,4444
사회탐구,생활과 윤리,65,875,1398
사회탐구,생활과 윤리,64,2555,3785
사회탐구,생활과 윤리,63,1232,1727
사회탐구,생활과 윤리,62,1777,3032
사회탐구,생활과 윤리,61,2484,3626
사회탐구,생활과 윤리,60,1369,1991
사회탐구,생활과 윤리,59,2454,3786
사회탐구,생활과 윤리,58,1818,2771
사회탐구,생활과 윤리,57,1762,2688
사회탐구,생활과 윤리,56,2376,3592
사회탐구,생활과 윤리,55,3946,5821
사회탐구,생활과 윤리,54,1980,3095
사회탐구,생활과 윤리,53,2014,3001
사회탐구,생활과 윤리,52,2474,3604
사회탐구,생활과 윤리,51,2089,2952
사회탐구,생활과 윤리,50,2553,3825
사회탐구,생활과 윤리,49,2322,3379
사회탐구,생활과 윤리,48,2398,3628
사회탐구,생활과 윤리,47,2787,3930
사회탐구,생활과 윤리,46,2425,3399
사회탐구,생활과 윤리,45,2721,3957
사회탐구,생활과 윤리,44,4996,6915
사회탐구,생활과 윤리,43,2596,3510
사회탐구,생활과 윤리,42,2114,2958
사회탐구,생활과 윤리,41,2294,3146
사회탐구,생활과 윤리,40,2007,2478
사회탐구,생활과 윤리,39,2013,2427
사회탐구,생활과 윤리,38,1883,2252
사회탐구,생활과 윤리,37,1494,1735
사회탐구,생활과 윤리,36,3394,3070
사회탐구,생활과 윤리,35,1387,1423
사회탐구,생활과 윤리,34,2421,2145
사회탐구,생활과 윤리,33,2217,2040
사회탐구,생활과 윤리,32,742,613
사회탐구,생활과 윤리,31,359,267
사회탐구,생활과 윤리,30,379,333
사회탐구,생활과 윤리,29,172,164
사회탐구,생활과 윤리,28,132,78
사회탐구,생활과 윤리,27,133,113
사회탐구,생활과 윤리,25,80,54
사회탐구,윤리와 사상,70,130,220
사회탐구,윤리와 사상,69,143,244
사회탐구,윤리와 사상,68,345,509
사회탐구,윤리와 사상,67,74,122
사회탐구,윤리와 사상,66,436,652
사회탐구,윤리와 사상,65,374,633
사회탐구,윤리와 사상,64,791,1316
사회탐구,윤리와 사상,63,316,608
사회탐구,윤리와 사상,62,416,620
사회탐구,윤리와 사상,61,478,890
사회탐구,윤리와 사상,60,273,517
사회탐구,윤리와 사상,59,822,1499
사회탐구,윤리와 사상,58,310,540
사회탐구,윤리와 사상,57,429,738
사회탐구,윤리와 사상,56,253,557
사회탐구,윤리와 사상,55,347,616
사회탐구,윤리와 사상,54,644,1235
사회탐구,윤리와 사상,53,345,683
사회탐구,윤리와 사상,52,353,574
사회탐구,윤리와 사상,51,324,659
사회탐구,윤리와 사상,50,341,676
사회탐구,윤리와 사상,49,760,1342
사회탐구,윤리와 사상,48,368,691
사회탐구,윤리와 사상,47,381,785
사회탐구,윤리와 사상,46,422,750
사회탐구,윤리와 사상,45,485,780
사회탐구,윤리와 사상,44,504,840
사회탐구,윤리와 사상,43,1062,1741
사회탐구,윤리와 사상,42,857,1161
사회탐구,윤리와 사상,41,1009,1206
사회탐구,윤리와 사상,40,511,735
사회탐구,윤리와 사상,39,573,644
사회탐구,윤리와 사상,38,940,1216
사회탐구,윤리와 사상,37,392,480
사회탐구,윤리와 사상,36,389,414
사회탐구,윤리와 사상,35,230,287
사회탐구,윤리와 사상,34,480,576
사회탐구,윤리와 사상,33,363,320
사회탐구,윤리와 사상,32,94,73
사회탐구,윤리와 사상,31,39,45
사회탐구,윤리와 사상,30,47,41
사회탐구,윤리와 사상,28,31,29
사회탐구,한국지리,72,241,95
사회탐구,한국지리,70,230,100
사회탐구,한국지리,69,487,261
사회탐구,한국지리,68,417,285
사회탐구,한국지리,67,388,269
사회탐구,한국지리,66,306,188
사회탐구,한국지리,65,819,635
사회탐구,한국지리,64,447,361
사회탐구,한국지리,63,472,401
사회탐구,한국지리,62,403,267
사회탐구,한국지리,61,511,420
사회탐구,한국지리,60,868,833
사회탐구,한국지리,59,452,505
사회탐구,한국지리,58,410,399
사회탐구,한국지리,57,430,432
사회탐구,한국지리,56,838,821
사회탐구,한국지리,55,439,453
사회탐구,한국지리,54,409,387
사회탐구,한국지리,53,414,388
사회탐구,한국지리,52,759,797
사회탐구,한국지리,51,377,435
사회탐구,한국지리,50,416,435
사회탐구,한국지리,49,455,465
사회탐구,한국지리,48,414,492
사회탐구,한국지리,47,1040,1071
사회탐구,한국지리,46,540,549
사회탐구,한국지리,45,604,616
사회탐구,한국지리,44,598,665
사회탐구,한국지리,43,1374,1478
사회탐구,한국지리,42,776,769
사회탐구,한국지리,41,817,817
사회탐구,한국지리,40,1087,964
사회탐구,한국지리,39,1643,1578
사회탐구,한국지리,38,526,497
사회탐구,한국지리,37,571,555
사회탐구,한국지리,36,260,230
사회탐구,한국지리,35,466,454
사회탐구,한국지리,34,95,72
사회탐구,한국지리,33,92,96
사회탐구,한국지리,31,53,39
사회탐구,세계지리,73,96,16
사회탐구,세계지리,71,82,37
사회탐구,세계지리,70,311,82
사회탐구,세계지리,69,48,23
사회탐구,세계지리,68,764,279
사회탐구,세계지리,67,250,145
사회탐구,세계지리,66,595,259
사회탐구,세계지리,65,418,185
사회탐구,세계지리,64,501,311
사회탐구,세계지리,63,678,297
사회탐구,세계지리,62,1138,726
사회탐구,세계지리,61,546,350
사회탐구,세계지리,60,638,481
사회탐구,세계지리,59,639,420
사회탐구,세계지리,58,553,428
사회탐구,세계지리,57,604,441
사회탐구,세계지리,56,1169,827
사회탐구,세계지리,55,531,378
사회탐구,세계지리,54,522,414
사회탐구,세계지리,53,565,447
사회탐구,세계지리,52,459,372
사회탐구,세계지리,51,993,741
사회탐구,세계지리,50,499,426
사회탐구,세계지리,49,461,408
사회탐구,세계지리,48,511,428
사회탐구,세계지리,47,571,462
사회탐구,세계지리,46,513,393
사회탐구,세계지리,45,1160,959
사회탐구,세계지리,44,621,508
사회탐구,세계지리,43,720,663
사회탐구,세계지리,42,651,607
사회탐구,세계지리,41,834,710
사회탐구,세계지리,40,1150,883
사회탐구,세계지리,39,1393,1224
사회탐구,세계지리,38,815,731
사회탐구,세계지리,37,620,562
사회탐구,세계지리,36,393,342
사회탐구,세계지리,35,267,219
사회탐구,세계지리,34,288,253
사회탐구,세계지리,33,226,178
사회탐구,세계지리,32,85,77
사회탐구,세계지리,30,41,44
사회탐구,동아시아사,68,161,67
사회탐구,동아시아사,66,292,93
사회탐구,동아시아사,65,262,150
사회탐구,동아시아사,64,571,280
사회탐구,동아시아사,63,200,146
사회탐구,동아시아사,62,219,148
사회탐구,동아시아사,61,764,550
사회탐구,동아시아사,60,360,325
사회탐구,동아시아사,59,500,370
사회탐구,동아시아사,58,644,524
사회탐구,동아시아사,57,291,203
사회탐구,동아시아사,56,234,203
사회탐구,동아시아사,55,534,395
사회탐구,동아시아사,54,227,200
사회탐구,동아시아사,53,198,193
사회탐구,동아시아사,52,344,308
사회탐구,동아시아사,51,154,136
사회탐구,동아시아사,50,182,173
사회탐구,동아시아사,49,368,262
사회탐구,동아시아사,48,184,143
사회탐구,동아시아사,47,214,176
사회탐구,동아시아사,46,216,175
사회탐구,동아시아사,45,416,360
사회탐구,동아시아사,44,253,237
사회탐구,동아시아사,43,257,208
사회탐구,동아시아사,42,504,488
사회탐구,동아시아사,41,293,289
사회탐구,동아시아사,40,328,272
사회탐구,동아시아사,39,563,526
사회탐구,동아시아사,38,242,222
사회탐구,동아시아사,37,274,241
사회탐구,동아시아사,36,501,429
사회탐구,동아시아사,35,359,236
사회탐구,동아시아사,34,110,107
사회탐구,동아시아사,33,132,81
사회탐구,동아시아사,32,92,70
사회탐구,동아시아사,31,28,18
사회탐구,동아시아사,29,20,12
사회탐구,세계사,72,98,3
사회탐구,세계사,71,233,24
사회탐구,세계사,70,117,10
사회탐구,세계사,69,138,23
사회탐구,세계사,68,300,50
사회탐구,세계사,67,129,26
사회탐구,세계사,66,531,133
사회탐구,세계사,65,215,66
사회탐구,세계사,64,298,108
사회탐구,세계사,63,238,69
사회탐구,세계사,62,278,132
사회탐구,세계사,61,270,115
사회탐구,세계사,60,571,321
사회탐구,세계사,59,248,115
사회탐구,세계사,58,279,199
사회탐구,세계사,57,266,159
사회탐구,세계사,56,227,159
사회탐구,세계사,55,298,222
사회탐구,세계사,54,444,326
사회탐구,세계사,53,277,157
사회탐구,세계사,52,223,166
사회탐구,세계사,51,258,220
사회탐구,세계사,50,265,176
사회탐구,세계사,49,293,209
사회탐구,세계사,48,600,388
사회탐구,세계사,47,339,249
사회탐구,세계사,46,275,249
사회탐구,세계사,45,346,292
사회탐구,세계사,44,317,293
사회탐구,세계사,43,432,346
사회탐구,세계사,42,655,645
사회탐구,세계사,41,540,410
사회탐구,세계사,40,324,316
사회탐구,세계사,39,302,301
사회탐구,세계사,38,479,368
사회탐구,세계사,37,271,222
사회탐구,세계사,36,349,341
사회탐구,세계사,35,76,94
사회탐구,세계사,34,99,92
사회탐구,세계사,33,31,20
사회탐구,세계사,32,46,33
사회탐구,세계사,31,17,24
사회탐구,세계사,30,13,8
사회탐구,경제,70,120,21
사회탐구,경제,69,87,17
사회탐구,경제,68,99,23
사회탐구,경제,67,51,10
사회탐구,경제,66,184,35
사회탐구,경제,65,102,34
사회탐구,경제,64,106,24
사회탐구,경제,63,84,29
사회탐구,경제,62,223,60
사회탐구,경제,61,103,34
사회탐구,경제,60,125,38
사회탐구,경제,59,86,39
사회탐구,경제,58,186,69
사회탐구,경제,57,82,32
사회탐구,경제,56,77,40
사회탐구,경제,55,188,67
사회탐구,경제,54,107,36
사회탐구,경제,53,89,40
사회탐구,경제,52,75,34
사회탐구,경제,51,159,84
사회탐구,경제,50,90,24
사회탐구,경제,49,98,52
사회탐구,경제,48,91,56
사회탐구,경제,47,247,119
사회탐구,경제,46,115,57
사회탐구,경제,45,149,57
사회탐구,경제,44,330,155
사회탐구,경제,43,225,119
사회탐구,경제,42,136,66
사회탐구,경제,41,190,77
사회탐구,경제,40,379,186
사회탐구,경제,39,244,108
사회탐구,경제,38,80,34
사회탐구,경제,37,88,40
사회탐구,경제,36,139,55
사회탐구,경제,35,52,28
사회탐구,경제,34,19,9
사회탐구,경제,33,38,14
사회탐구,경제,31,12,8
사회탐구,정치와 법,67,191,165
사회탐구,정치와 법,65,631,565
사회탐구,정치와 법,64,353,324
사회탐구,정치와 법,63,576,552
사회탐구,정치와 법,62,869,1066
사회탐구,정치와 법,61,438,575
사회탐구,정치와 법,60,441,515
사회탐구,정치와 법,59,593,787
사회탐구,정치와 법,58,820,1135
사회탐구,정치와 법,57,417,606
사회탐구,정치와 법,56,288,461
사회탐구,정치와 법,55,669,1051
사회탐구,정치와 법,54,270,455
사회탐구,정치와 법,53,292,393
사회탐구,정치와 법,52,221,307
사회탐구,정치와 법,51,458,696
사회탐구,정치와 법,50,205,308
사회탐구,정치와 법,49,228,350
사회탐구,정치와 법,48,380,589
사회탐구,정치와 법,47,211,335
사회탐구,정치와 법,46,227,287
사회탐구,정치와 법,45,217,387
사회탐구,정치와 법,44,456,743
사회탐구,정치와 법,43,273,483
사회탐구,정치와 법,42,275,421
사회탐구,정치와 법,41,607,1006
사회탐구,정치와 법,40,366,498
사회탐구,정치와 법,39,412,545
사회탐구,정치와 법,38,812,1064
사회탐구,정치와 법,37,318,381
사회탐구,정치와 법,36,757,708
사회탐구,정치와 법,35,262,339
사회탐구,정치와 법,34,393,432
사회탐구,정치와 법,33,112,107
사회탐구,정치와 법,32,86,91
사회탐구,정치와 법,31,79,83
사회탐구,정치와 법,30,38,32
사회탐구,정치와 법,28,28,12
사회탐구,사회·문화,70,559,339
사회탐구,사회·문화,69,439,348
사회탐구,사회·문화,68,1610,1452
사회탐구,사회·문화,67,206,187
사회탐구,사회·문화,66,2115,1964
사회탐구,사회·문화,65,2208,2293
사회탐구,사회·문화,64,1303,1300
사회탐구,사회·문화,63,3749,4055
사회탐구,사회·문화,62,2467,2701
사회탐구,사회·문화,61,7276,8021
사회탐구,사회·문화,60,2715,3164
사회탐구,사회·문화,59,3862,4571
사회탐구,사회·문화,58,3665,4631
사회탐구,사회·문화,57,3240,3848
사회탐구,사회·문화,56,3858,4638
사회탐구,사회·문화,55,3163,3822
사회탐구,사회·문화,54,3379,4124
사회탐구,사회·문화,53,6365,7660
사회탐구,사회·문화,52,3167,3885
