등급,과목,구분 점수,인원(명),비율(퍼센트)
1,국어,133,22935,4.67
2,국어,126,32472,6.61
3,국어,117,61651,12.56
4,국어,107,79879,16.27
5,국어,94,103808,21.14
6,국어,83,78361,15.96
7,국어,73,60399,12.3
8,국어,66,35758,7.28
9,국어,66미만,15726,3.2
1,수학,128,21797,4.62
2,수학,124,40814,8.66
3,수학,119,56615,12.01
4,수학,111,73946,15.69
5,수학,92,90963,19.3
6,수학,79,80296,17.03
7,수학,74,65871,13.97
8,수학,71,23614,5.01
9,수학,71미만,17458,3.7
1,영어,90,15154,3.11
2,영어,80,70017,14.35
3,영어,70,128336,26.3
4,영어,60,119692,24.53
5,영어,50,64807,13.28
6,영어,40,39134,8.02
7,영어,30,27510,5.64
8,영어,20,17794,3.65
9,영어,20미만,5497,1.13
1,한국사,40,75199,15.23
2,한국사,35,64193,13
3,한국사,30,74746,15.13
4,한국사,25,77410,15.67
5,한국사,20,72884,14.76
6,한국사,15,60169,12.18
7,한국사,10,52045,10.54
8,한국사,5,15478,3.13
9,한국사,5미만,1772,0.36
1,생활과 윤리,66,14450,7.36
2,생활과 윤리,64,8613,4.39
3,생활과 윤리,59,23478,11.96
4,생활과 윤리,53,34864,17.75
5,생활과 윤리,46,41765,21.27
6,생활과 윤리,42,29767,15.16
7,생활과 윤리,36,28193,14.36
8,생활과 윤리,33,11633,5.92
9,생활과 윤리,33미만,3619,1.84
1,윤리와 사상,66,2875,6.23
2,윤리와 사상,64,3114,6.75
3,윤리와 사상,59,6439,13.95
4,윤리와 사상,53,6697,14.51
5,윤리와 사상,45,9691,21
6,윤리와 사상,41,8380,18.16
7,윤리와 사상,38,4619,10.01
8,윤리와 사상,34,3248,7.04
9,윤리와 사상,34미만,1082,2.34
1,한국지리,68,2116,4.98
2,한국지리,65,2605,6.13
3,한국지리,59,5940,13.97
4,한국지리,52,7376,17.35
5,한국지리,45,7909,18.6
6,한국지리,41,7294,17.16
7,한국지리,39,5272,12.4
8,한국지리,36,2639,6.21
9,한국지리,36미만,1367,3.22
1,세계지리,68,1738,4.17
2,세계지리,63,3639,8.74
3,세계지리,59,4938,11.85
