영역,유형,표준점수,남자,여자
국어,국어,143,44,36
국어,국어,141,92,75
국어,국어,140,172,167
국어,국어,139,116,115
국어,국어,138,456,425
국어,국어,137,359,347
국어,국어,136,715,689
국어,국어,135,766,706
국어,국어,134,1044,977
국어,국어,133,1176,1144
국어,국어,132,1451,1324
국어,국어,131,1657,1626
국어,국어,130,2044,1924
국어,국어,129,2279,2163
국어,국어,128,2353,2367
국어,국어,127,2435,2401
국어,국어,126,2819,2852
국어,국어,125,2692,2682
국어,국어,124,2912,3076
국어,국어,123,2998,2952
국어,국어,122,3137,3236
국어,국어,121,3065,3184
국어,국어,120,3196,3079
국어,국어,119,3193,3396
국어,국어,118,3455,3506
국어,국어,117,3358,3572
국어,국어,116,3404,3565
국어,국어,115,3354,3669
국어,국어,114,3971,4289
국어,국어,113,3485,3738
국어,국어,112,3494,3832
국어,국어,111,3398,3836
국어,국어,110,3764,4028
국어,국어,109,3502,3849
국어,국어,108,3491,3831
국어,국어,107,3997,4188
국어,국어,106,3459,3743
국어,국어,105,3512,3748
국어,국어,104,3520,3822
국어,국어,103,3878,4055
국어,국어,102,3284,3496
국어,국어,101,3436,3649
국어,국어,100,3352,3579
국어,국어,99,3737,4003
국어,국어,98,3280,3426
국어,국어,97,3194,3240
국어,국어,96,3063,3209
국어,국어,95,3395,3560
국어,국어,94,2960,3071
국어,국어,93,2880,2972
국어,국어,92,2789,2996
국어,국어,91,3098,3215
국어,국어,90,2699,2735
국어,국어,89,2593,2725
국어,국어,88,2522,2547
국어,국어,87,2850,2730
국어,국어,86,2470,2364
국어,국어,85,2241,2280
국어,국어,84,2344,2290
국어,국어,83,2418,2299
국어,국어,82,2079,2016
국어,국어,81,2043,1885
국어,국어,80,2263,2103
국어,국어,79,1951,1800
국어,국어,78,1813,1740
국어,국어,77,1844,1604
국어,국어,76,1951,1748
국어,국어,75,1760,1449
국어,국어,74,1706,1438
국어,국어,73,1932,1584
국어,국어,72,1906,1515
국어,국어,71,1964,1320
국어,국어,70,3099,1593
국어,국어,69,1937,1224
국어,국어,68,2354,1397
국어,국어,67,1757,1064
국어,국어,66,4873,2111
국어,국어,65,1439,844
국어,국어,64,2245,1117
국어,국어,63,1581,825
국어,국어,62,2827,1374
국어,국어,61,878,499
국어,국어,60,1318,609
국어,국어,59,733,340
국어,국어,58,945,382
국어,국어,57,439,195
국어,국어,56,311,144
국어,국어,55,230,81
국어,국어,54,187,87
국어,국어,53,153,54
국어,국어,52,115,61
국어,국어,51,53,29
국어,국어,50,40,20
국어,국어,49,35,9
국어,국어,48,33,14
국어,국어,47,31,6
국어,국어,46,242,71
국어,국어,45,723,259
수학,수학,140,976,213
수학,수학,139,5,0
수학,수학,138,44,7
수학,수학,137,2089,580
수학,수학,136,15,2
수학,수학,135,171,49
수학,수학,134,3421,1204
수학,수학,133,50,11
수학,수학,132,437,158
수학,수학,131,5279,2321
수학,수학,130,138,29
수학,수학,129,896,356
수학,수학,128,7597,3916
수학,수학,127,367,125
수학,수학,126,1664,890
수학,수학,125,9570,5812
수학,수학,124,766,291
수학,수학,123,3043,1838
