등급,과목,구분 점수,인원(명),비율(퍼센트)
1,국어,130,19679,4.84
2,국어,125,25082,6.17
3,국어,117,51400,12.64
4,국어,108,66631,16.38
5,국어,96,86036,21.15
6,국어,84,66460,16.34
7,국어,71,48273,11.87
8,국어,64,27171,6.68
9,국어,64미만,16011,3.94
1,수학,131,17065,4.24
2,수학,125,31415,7.8
3,수학,119,46979,11.66
4,수학,109,67608,16.78
5,수학,94,81525,20.23
6,수학,79,67702,16.8
7,수학,72,59875,14.86
8,수학,70,16521,4.1
9,수학,70미만,14236,3.53
1,영어,90,18373,4.5
2,영어,80,66396,16.26
3,영어,70,109615,26.84
4,영어,60,92515,22.65
5,영어,50,45299,11.09
6,영어,40,25203,6.17
7,영어,30,17951,4.39
8,영어,20,21977,5.38
9,영어,20미만,11114,2.72
1,한국사,40,55450,13.55
2,한국사,35,48333,11.81
3,한국사,30,63145,15.43
4,한국사,25,69664,17.03
5,한국사,20,61433,15.01
6,한국사,15,58944,14.41
7,한국사,10,33064,8.08
8,한국사,5,15931,3.89
9,한국사,5미만,3207,0.78
1,생활과 윤리,66,8083,4.99
2,생활과 윤리,64,9817,6.06
3,생활과 윤리,58,26706,16.49
4,생활과 윤리,53,21649,13.37
5,생활과 윤리,47,33009,20.38
6,생활과 윤리,41,27949,17.26
7,생활과 윤리,37,17428,10.76
8,생활과 윤리,34,11871,7.33
9,생활과 윤리,34미만,5447,3.36
1,윤리와 사상,68,1794,4.58
2,윤리와 사상,63,4160,10.61
3,윤리와 사상,59,3487,8.9
4,윤리와 사상,52,7273,18.55
5,윤리와 사상,45,7709,19.67
6,윤리와 사상,41,7725,19.71
7,윤리와 사상,38,4533,11.56
8,윤리와 사상,36,1394,3.56
9,윤리와 사상,36미만,1123,2.86
1,한국지리,68,1762,4.8
2,한국지리,65,2286,6.23
3,한국지리,60,4467,12.17
4,한국지리,52,6830,18.6
5,한국지리,45,7945,21.64
6,한국지리,41,6507,17.72
7,한국지리,38,3697,10.07
8,한국지리,36,2107,5.74
9,한국지리,36미만,1118,3.04
1,세계지리,67,1681,4.54
2,세계지리,64,2767,7.47
3,세계지리,60,4153,11.21
4,세계지리,53,6304,17.01
5,세계지리,45,7761,20.94
6,세계지리,41,6221,16.79
7,세계지리,37,5698,15.37
8,세계지리,35,1640,4.43
9,세계지리,35미만,836,2.26
1,동아시아사,65,1466,8.55
2,동아시아사,63,1493,8.71
3,동아시아사,61,1081,6.3
4,동아시아사,53,3312,19.31
5,동아시아사,45,3639,21.22
6,동아시아사,40,2844,16.58
7,동아시아사,37,1952,11.38
8,동아시아사,35,982,5.73
9,동아시아사,35미만,380,2.22
1,세계사,67,1073,6.38
2,세계사,65,960,5.71
3,세계사,60,2128,12.65
4,세계사,53,2598,15.45
5,세계사,44,3891,23.13
6,세계사,41,2473,14.7
7,세계사,38,2897,17.22
8,세계사,37,231,1.37
9,세계사,37미만,569,3.38
1,경제,68,293,4.53
2,경제,64,576,8.9
3,경제,59,764,11.8
4,경제,52,1092,16.87
5,경제,45,1351,20.87
6,경제,40,1302,20.11
7,경제,39,441,6.81
8,경제,36,412,6.36
9,경제,36미만,242,3.74
1,정치와 법,66,1570,5.51
2,정치와 법,64,1689,5.92
3,정치와 법,60,3772,13.23
4,정치와 법,54,4477,15.7
5,정치와 법,46,5905,20.71
6,정치와 법,40,5654,19.83
7,정치와 법,37,2969,10.41
8,정치와 법,35,1423,4.99
9,정치와 법,35미만,1049,3.68
1,사회·문화,66,11812,5.8
2,사회·문화,63,11908,5.84
3,사회·문화,59,23540,11.55
4,사회·문화,54,34575,16.97
5,사회·문화,47,46464,22.8
6,사회·문화,41,32503,15.95
7,사회·문화,36,22673,11.13
8,사회·문화,32,16787,8.24
9,사회·문화,32미만,3525,1.73
1,물리학 Ⅰ,67,1715,4.74
2,물리학 Ⅰ,64,2547,7.04
3,물리학 Ⅰ,59,4665,12.9
4,물리학 Ⅰ,53,6639,18.36
5,물리학 Ⅰ,46,7054,19.5
